@relation 'cleansed_data-weka.filters.unsupervised.attribute.Remove-R10,14,22'

@attribute yearID numeric
@attribute G numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute HR numeric
@attribute RBI numeric
@attribute salary numeric
@attribute weight numeric
@attribute height numeric
@attribute bats {R,L,B}
@attribute AB numeric
@attribute SO numeric
@attribute BB numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute R_avg numeric
@attribute H_avg numeric
@attribute 2B_avg numeric
@attribute 3B_avg numeric
@attribute HR_avg numeric
@attribute salary_avg numeric
@attribute weight_avg numeric
@attribute height_avg numeric
@attribute AB_avg numeric
@attribute SO_avg numeric
@attribute BB_avg numeric
@attribute IBB_avg numeric
@attribute SH_avg numeric
@attribute SF_avg numeric
@attribute GIDP_avg numeric
@attribute G_avg numeric
@attribute RBI_avg numeric
@attribute num_years_in_league numeric
@attribute age numeric

@data
1985,114,36,49,9,0,15,43,558333,205,75,R,225,36,44,1,2,3,5,36,49,9,0,15,558333,205,75,225,36,44,1,2,3,5,114,43,9,31
1985,113,43,86,8,0,17,50,60000,217,75,L,328,52,28,2,1,1,15,43,86,8,0,17,60000,217,75,328,52,28,2,1,1,15,113,50,1,26
1985,69,28,58,6,2,7,27,130000,175,73,B,205,44,7,0,2,0,4,28,58,6,2,7,130000,175,73,205,44,7,0,2,0,4,69,27,4,27
1985,139,72,123,22,1,28,81,121000,195,74,B,450,104,48,5,1,1,9,72,123,22,1,28,121000,195,74,450,104,48,5,1,1,9,139,81,3,25
1985,103,50,102,17,5,23,64,915000,182,71,R,385,90,18,4,0,5,14,50,102,17,5,23,915000,182,71,385,90,18,4,0,5,14,103,64,9,32
1985,156,59,142,26,0,5,56,272500,175,70,R,534,50,56,3,12,4,14,59,142,26,0,5,272500,175,70,534,50,56,3,12,4,14,156,56,3,27
1985,161,107,240,42,3,8,78,1000000,190,74,L,653,61,96,5,3,2,20,107,240,42,3,8,1000000,190,74,653,61,96,5,3,2,20,161,78,3,27
1985,162,89,201,46,3,16,110,747500,185,72,L,673,36,30,5,2,11,16,89,201,46,3,16,747500,185,72,673,36,30,5,2,11,16,162,110,16,36
1985,155,71,149,29,4,16,74,650000,190,72,L,568,129,53,1,0,7,15,71,149,29,4,16,650000,190,72,568,129,53,1,0,7,15,155,74,12,35
1985,159,110,162,29,1,29,78,800000,180,74,R,617,105,114,4,1,7,16,110,162,29,1,29,800000,180,74,617,105,114,4,1,7,16,159,78,13,34
1985,144,66,147,30,5,18,80,477500,210,72,L,498,79,50,11,3,2,12,66,147,30,5,18,477500,210,72,498,79,50,11,3,2,12,144,80,5,26
1985,103,33,60,5,2,2,21,130000,175,71,R,275,37,12,0,9,1,9,33,60,5,2,2,130000,175,71,275,37,12,0,9,1,9,103,21,2,25
1985,96,40,77,17,2,6,34,335000,175,73,R,279,40,25,0,9,3,6,40,77,17,2,6,335000,175,73,279,40,25,0,9,3,6,96,34,5,27
1985,26,4,3,0,0,0,0,125000,185,74,R,13,3,1,0,0,0,1,4,3,0,0,0,125000,185,74,13,3,1,0,0,0,1,26,0,3,28
1985,41,5,15,2,0,0,9,275000,175,72,L,45,6,5,0,0,1,1,5,15,2,0,0,275000,175,72,45,6,5,0,0,1,1,41,9,14,37
1985,21,3,6,1,0,1,3,260000,165,71,R,32,4,2,0,1,1,1,11.5,20.5,4,0.5,1,260000,165,71,75,8.5,8.5,0.5,1.5,1,1,36,9,5,27
1985,51,20,35,7,1,1,15,260000,165,71,R,118,13,15,1,2,1,1,11.5,20.5,4,0.5,1,260000,165,71,75,8.5,8.5,0.5,1.5,1,1,36,9,5,27
1985,140,85,159,20,3,27,103,779227,200,74,R,546,75,51,5,0,9,35,85,159,20,3,27,779227,200,74,546,75,51,5,0,9,35,140,103,11,32
1985,30,4,15,6,0,0,2,325000,178,73,R,66,11,4,0,1,0,1,4,15,6,0,0,325000,178,73,66,11,4,0,1,0,1,30,2,5,31
1985,132,54,125,13,5,8,42,365000,150,71,R,411,46,34,3,9,1,16,54,125,13,5,8,365000,150,71,411,46,34,3,9,1,16,132,42,14,35
1985,150,37,114,17,0,5,55,883000,195,74,R,460,35,37,2,16,4,12,37,114,17,0,5,883000,195,74,460,35,37,2,16,4,12,150,55,13,38
1985,127,69,124,17,3,2,39,875000,170,72,L,443,47,64,9,9,1,8,69,124,17,3,2,875000,170,72,443,47,64,9,9,1,8,127,39,18,40
1985,120,50,104,22,1,20,78,1100000,190,74,R,427,71,47,11,5,7,18,50,104,22,1,20,1100000,190,74,427,71,47,11,5,7,18,120,78,12,35
1985,150,80,137,23,1,20,85,808333,170,70,R,520,61,78,3,5,4,12,80,137,23,1,20,808333,170,70,520,61,78,3,5,4,12,150,85,12,35
1985,144,74,116,17,3,13,53,700000,180,74,R,479,77,81,3,8,0,18,74,116,17,3,13,700000,180,74,479,77,81,3,8,0,18,144,53,15,36
1985,16,5,5,1,0,2,6,737000,195,75,R,41,8,4,1,0,1,4,5,5,1,0,2,737000,195,75,41,8,4,1,0,1,4,16,6,14,36
1985,143,64,116,27,0,27,85,1058894,195,72,L,460,138,78,12,0,2,16,64,116,27,0,27,1058894,195,72,460,138,78,12,0,2,16,143,85,18,39
1985,125,66,90,17,2,21,67,390000,170,70,L,389,82,57,2,8,2,5,66,90,17,2,21,390000,170,70,389,82,57,2,8,2,5,125,67,9,30
1985,125,67,114,10,8,1,32,125000,165,73,B,443,125,62,0,9,2,5,67,114,10,8,1,125000,165,73,443,125,62,0,9,2,5,125,32,3,27
1985,147,50,96,19,3,8,41,120000,175,70,R,438,70,35,0,12,3,8,50,96,19,3,8,120000,175,70,438,70,35,0,12,3,8,147,41,2,23
1985,44,14,28,6,1,2,12,130000,185,74,L,98,18,15,0,0,3,2,14,28,6,1,2,130000,185,74,98,18,15,0,0,3,2,44,12,4,27
1985,83,16,41,3,0,4,13,266667,180,73,L,217,32,16,1,8,2,0,16,41,3,0,4,266667,180,73,217,32,16,1,8,2,0,83,13,8,32
1985,54,0,0,0,0,0,0,147500,190,74,L,0,0,0,0,0,0,0,0,0,0,0,0,147500,190,74,0,0,0,0,0,0,0,54,0,4,27
1985,160,86,198,29,3,22,113,675000,175,74,L,640,89,42,8,0,10,23,86,198,29,3,22,675000,175,74,640,89,42,8,0,10,23,160,113,5,26
1985,34,0,0,0,0,0,0,811250,190,73,L,0,0,0,0,0,0,0,0,0,0,0,0,811250,190,73,0,0,0,0,0,0,0,34,0,8,30
1985,91,28,46,2,3,0,15,1242333,165,69,B,234,40,32,0,1,1,6,28,46,2,3,0,1242333,165,69,234,40,32,0,1,1,6,91,15,8,31
1985,153,85,129,23,1,37,107,685000,200,75,R,543,81,52,12,2,6,9,85,129,23,1,37,685000,200,75,543,81,52,12,2,6,9,153,107,16,38
1985,119,38,77,8,1,2,31,165000,168,71,R,301,47,35,0,11,1,9,38,77,8,1,2,165000,168,71,301,47,35,0,11,1,9,119,31,4,27
1985,150,71,134,21,9,1,33,60000,150,71,L,491,36,12,1,8,1,5,71,134,21,9,1,60000,150,71,491,36,12,1,8,1,5,150,33,0,21
1985,95,9,34,8,0,2,20,150000,170,70,B,140,18,29,3,0,4,3,9,34,8,0,2,150000,170,70,140,18,29,3,0,4,3,95,20,12,33
1985,40,5,10,2,0,0,4,200000,205,75,R,75,9,12,0,8,0,2,5,10,2,0,0,200000,205,75,75,9,12,0,8,0,2,40,4,12,33
1985,69,0,0,0,0,0,0,265000,215,76,R,0,0,0,0,0,0,0,0,0,0,0,0,265000,215,76,0,0,0,0,0,0,0,69,0,7,27
