@relation 'newest_weka_batters_no_null-weka.filters.unsupervised.attribute.Remove-R1,23-weka.filters.unsupervised.attribute.NumericToNominal-R19'

@attribute lgID {NL,AL}
@attribute yearID numeric
@attribute AB numeric
@attribute R numeric
@attribute H numeric
@attribute 2B numeric
@attribute 3B numeric
@attribute HR numeric
@attribute RBI numeric
@attribute SB numeric
@attribute CS numeric
@attribute BB numeric
@attribute SO numeric
@attribute IBB numeric
@attribute SH numeric
@attribute SF numeric
@attribute GIDP numeric
@attribute G numeric
@attribute GP {0,1}
@attribute height numeric
@attribute weight numeric
@attribute age numeric
@attribute num_years_in_league numeric
@attribute previous_appearances numeric

@data
NL,1994,345,41,86,17,3,9,33,3,0,16,98,1,3,2,5,101,0,71,180,25,1,0
NL,1995,420,60,107,18,7,17,60,4,3,36,110,4,2,5,6,120,0,71,180,26,2,0
NL,1996,320,37,81,18,7,8,33,3,3,22,99,1,4,0,7,109,0,71,180,27,3,0
NL,1997,252,35,69,18,2,6,30,3,1,14,68,3,6,0,5,94,0,71,180,28,4,0
AL,1998,123,17,33,7,1,2,9,2,1,10,34,0,1,1,3,35,0,71,180,29,5,0
NL,1999,286,41,78,17,2,8,41,3,2,16,69,0,2,1,4,96,0,71,180,30,6,0
NL,2000,157,22,34,7,1,6,12,1,1,14,51,2,0,1,2,79,0,71,180,31,7,0
NL,2001,9,0,2,0,0,0,0,1,0,0,3,0,0,0,0,6,0,71,180,32,8,0
NL,1992,29,1,2,1,0,0,2,0,0,1,18,0,6,0,0,31,0,76,200,24,1,0
NL,1995,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,18,0,76,200,27,4,0
AL,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,75,185,24,1,0
AL,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,75,185,32,9,0
AL,2000,5,1,2,1,0,0,0,0,0,0,1,0,1,0,0,35,0,75,185,33,10,0
AL,2001,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,28,0,75,185,34,11,0
AL,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,75,185,35,12,0
AL,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,75,185,36,13,0
AL,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,75,185,37,14,0
AL,1955,17,0,1,0,0,0,0,0,0,0,9,0,2,0,1,39,0,74,195,28,5,0
AL,1956,10,0,3,0,0,0,0,0,0,1,4,0,2,0,0,42,0,74,195,29,6,0
AL,1957,8,0,1,0,0,0,1,0,0,1,4,0,0,0,0,28,0,74,195,30,7,0
NL,2006,255,39,54,12,2,5,24,6,5,18,78,2,4,1,2,111,0,75,215,26,0,0
NL,2007,76,16,15,3,0,2,5,7,1,2,22,0,0,0,1,35,0,75,215,27,1,0
NL,2008,55,10,17,5,0,2,5,5,2,1,23,0,1,1,0,34,0,75,215,28,2,0
AL,2001,304,43,82,17,1,5,33,8,3,27,35,1,3,1,3,79,0,73,185,24,0,0
AL,2002,463,46,112,18,4,2,40,10,4,25,46,0,8,2,8,117,0,73,185,25,1,0
AL,2003,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,73,185,26,2,0
AL,2005,67,5,16,1,0,1,6,2,0,7,9,0,3,1,2,24,0,73,185,28,4,0
AL,1955,26,1,4,0,0,0,0,0,0,0,6,0,4,0,1,40,0,76,215,22,0,0
AL,1956,11,1,2,0,0,0,1,0,0,0,5,0,0,0,0,5,0,76,215,23,1,0
AL,1957,24,3,4,1,0,0,1,0,0,1,5,0,2,0,2,26,0,76,215,24,2,0
AL,1960,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,76,215,27,5,0
AL,1963,5,1,2,1,0,0,0,0,0,1,2,0,1,0,0,43,0,76,215,30,8,0
AL,1964,6,0,0,0,0,0,0,0,0,0,3,0,1,0,0,53,0,76,215,31,9,0
NL,1965,18,1,3,0,0,0,2,0,0,0,7,0,3,0,0,84,0,76,215,32,10,0
NL,1966,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,76,215,33,11,0
NL,1967,17,0,1,0,0,0,2,0,0,0,10,0,0,0,1,70,0,76,215,34,12,0
NL,1968,17,2,0,0,0,0,0,0,0,3,12,0,0,0,0,78,0,76,215,35,13,0
NL,1969,8,1,2,1,0,0,1,0,0,0,2,0,0,0,0,56,0,76,215,36,14,0
NL,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,76,215,37,15,0
AL,1971,13,0,1,0,0,0,0,0,0,0,7,0,1,0,0,63,0,76,215,38,16,0
AL,1972,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,45,0,76,215,39,17,0
NL,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,170,32,1,0
NL,1987,47,5,13,3,1,2,7,1,0,2,8,0,0,0,0,16,0,73,190,21,0,0
NL,1988,83,6,15,3,0,2,5,0,1,4,19,1,0,1,1,37,0,73,190,22,1,0
NL,1989,102,13,18,4,0,2,14,1,0,5,20,2,0,1,1,57,0,73,190,23,2,0
NL,1990,184,17,45,9,0,1,15,2,3,9,28,1,2,1,3,91,0,73,190,24,3,0
NL,1991,115,15,19,4,1,1,5,0,0,7,25,4,1,1,3,53,0,73,190,25,4,0
